name,description,category_parent,category_name,category_slug,tags,price,rarity,reality_type,status,catalog_version,generation_seed,danger,luxury,novelty,historical_value,technology_level,natural_significance,fantasy_level,space_affinity,power
Mars,A rust-colored planet with excellent views and a demanding commute.,Space,Planet,planet,space|natural|massive|rare|powerful|luxury,317500000000000000000,0.7145,real,available,synthetic_product_v1,42,0.8957,0.8668,0.8533,0.4506,0.1349,0.9162,0.1203,0.9446,0.9575
Venus,"A singular planet known for being space, natural, and unusually massive.",Space,Planet,planet,space|natural|massive|rare|unexplored|luxury,695000000000000000000,0.6769,real,coming_soon,synthetic_product_v1,42,0.7156,1.0,0.7779,0.5933,0.1706,0.958,0.1106,1.0,1.0
Jupiter,This real planet combines space character with natural value and massive appeal.,Space,Planet,planet,space|natural|massive|rare,5373000000000000000000,0.8556,real,available,synthetic_product_v1,42,0.6399,0.9688,0.9392,0.5816,0.136,0.9617,0.1341,0.8844,0.9328
Neptune,"Neptune is a real planet selected for its space, natural, and massive qualities.",Space,Planet,planet,space|natural|massive|rare|destructive,772500000000000000000,0.8013,real,coming_soon,synthetic_product_v1,42,0.8045,0.8892,0.8472,0.6406,0.2102,0.9857,0.2161,0.8709,0.9152
Crimson Exoplanet,This real planet combines space character with natural value and massive appeal.,Space,Planet,planet,space|natural|massive|rare|unexplored|exclusive,2155000000000000000000,0.7526,real,available,synthetic_product_v1,42,0.6786,0.8612,0.8497,0.5277,0.0837,0.9412,0.1729,0.9696,0.9258
Silent Exoplanet,"A singular planet known for being space, natural, and unusually massive.",Space,Planet,planet,space|natural|massive|rare|valuable|mysterious,601800000000000000000,0.5804,speculative,available,synthetic_product_v1,42,0.7969,0.848,0.8274,0.5435,0.2465,0.96,0.197,1.0,0.9686
Golden Exoplanet,"Golden Exoplanet is a real planet selected for its space, natural, and massive qualities.",Space,Planet,planet,space|natural|massive|rare,310000000000000000000,0.6976,real,available,synthetic_product_v1,42,0.7348,0.9681,0.7968,0.5352,0.2673,0.9681,0.0551,0.9825,0.7582
Obsidian Exoplanet,This real planet combines space character with natural value and massive appeal.,Space,Planet,planet,space|natural|massive|rare|exclusive|valuable,606800000000000000000,0.692,real,available,synthetic_product_v1,42,0.8377,0.8911,0.807,0.5162,0.112,0.8392,0.1602,1.0,0.8765
Moon,"Earth's only natural satellite, offered with tides and phases included.",Space,Satellite,satellite,space|natural|scientific|exclusive|mysterious|valuable,5814000000000000000,0.8307,real,available,synthetic_product_v1,42,0.5757,0.8516,0.9044,0.5057,0.1317,0.8652,0.068,0.9818,0.7388
Europa,This real satellite combines space character with natural value and scientific appeal.,Space,Satellite,satellite,space|natural|scientific|exclusive|mysterious,3626000000000000000,0.8641,real,available,synthetic_product_v1,42,0.4175,0.7747,0.8502,0.6846,0.3737,1.0,0.0,1.0,0.5754
Titan,"A singular satellite known for being space, natural, and unusually scientific.",Space,Satellite,satellite,space|natural|scientific|exclusive|unexplored,1869000000000000000,0.7808,real,available,synthetic_product_v1,42,0.6526,0.9328,0.8291,0.5642,0.2793,0.834,0.0606,1.0,0.702
Crimson Moon,"Crimson Moon is a speculative satellite selected for its space, natural, and scientific qualities.",Space,Satellite,satellite,space|natural|scientific|exclusive|valuable,9181000000000000000,0.6644,speculative,sold_out,synthetic_product_v1,42,0.4369,0.8425,0.8134,0.6362,0.2147,0.7371,0.0096,1.0,0.7209
Silent Moon,This speculative satellite combines space character with natural value and scientific appeal.,Space,Satellite,satellite,space|natural|scientific|exclusive|valuable|luxury,4262000000000000000,0.8471,speculative,available,synthetic_product_v1,42,0.547,0.9521,0.9482,0.6016,0.1494,0.8752,0.0951,0.9033,0.6837
Golden Moon,This real satellite combines space character with natural value and scientific appeal.,Space,Satellite,satellite,space|natural|scientific|exclusive|unexplored,6042000000000000000,0.7104,real,available,synthetic_product_v1,42,0.612,0.8055,0.8313,0.6473,0.2987,0.991,0.0642,1.0,0.6485
Obsidian Moon,"A singular satellite known for being space, natural, and unusually scientific.",Space,Satellite,satellite,space|natural|scientific|exclusive|mysterious|luxury,1502000000000000000,0.9128,real,available,synthetic_product_v1,42,0.5666,0.9217,0.8943,0.5326,0.2632,0.924,0.0084,0.9911,0.6388
The Sun,"A singular star & cosmic object known for being space, massive, and unusually powerful.",Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|exclusive|dangerous,27260000000000000000000000,0.9342,real,available,synthetic_product_v1,42,0.8784,0.8198,0.9875,0.258,0.0026,0.951,0.2937,1.0,1.0
